first_author,year,title,country,lme,location,distance_to_shore,depth,reference,ecology,governance,socioecon,wave_height_average_m,reference,sst_c,reference,biodiversity_indicator,reference,nutrients_n_p_chla,reference,policy_pathways,regulations,management_obstacles,gross_cost_usd,stakeholder_support,conflicts,aquaculture_present,wind_present,wave_present,tidal_present,other_present,phrase_identifier,definition,notes
Stuiver et al,2016,The Governance of Multi-Use Platforms at Sea for Energy Production and Aquaculture: Challenges for Policy Makers in European Seas,European Seas,other,,,,,0,1,0,,,,,,,,,"Makes 4 recommendations: 1) clear licensing procedure and framework, 2) financial support, 3) environmental management, 4) involved stakeholders from the onset
",,"Bureaucratic obstacles: authorizations, licenses, infrastructure, etc. Also, wave energy is still in its infancy and there is no regional or national legistlaion for it",,,,yes,yes,yes,yes,no,Case study,,compares case studies from different North Sea regions. Most optimistic circumstances are with Southern North Sea
Tawil et al,2018,Sizing and rough optimization of a hybrid renewable-based farm in a stand-alone marine context,Ouessant Island,Celtic Biscay Shelf,,,10 m,"pg 1141 (for tidal the depth is indicated in ""Passage du Fromveur""??)",1,0,1,,,,,,,,,,,,,,,no,yes,no,yes,yes,,,
Tullio et. al,2018,Sustainable use of marine resources through offshore wind and mussel farm co-location,,North Sea,Danish portion of Baltic Sea and western part of Danish North Sea,,</= 20 m,pg 36 (ranked highest in SI),1,0,0,,,</= 0.4,pg 36 (based on SST anomaly),,,>/= 0.5 mg/m^3,pg 36 (Chl-a: >/= 0.5 mg/m^3),,,,,,,yes,yes,no,no,no,,,Used multi-criteria evaluation (MCE) technique for co-locating offshore wind farms and open-water mussel cultivation to develop an index of co-location sustainability (SI)
van den Burg et al,2020,Development of multi-use platforms at sea: Barriers to realising Blue Growth,variable,n/a,variable,,,,0,1,1,,,,,,,,,,,13 legal barriers were identified (6 hamper MUP development and 5 represent the lack of legislation to develop MUPs),NOT EXACT #. major economic barrier were identified (120 barriers across 6 categories),notes that social dynamics are given less attention. ,25 social barriers were identified,yes,yes,yes,no,yes,Barriers,,"FOCUSES ON BARRIERS TO MUP. qualitative review of 21 multi-use projects. focus on each project's contrbution to ""Blue Growth"". "
van den Burg et al,2016,Participatory Design of Multi-Use Platforms at Sea,European Seas,other,,,,,0,1,1,,,,,,,,,,,,,,,yes,yes,yes,no,no,Stakeholder assessment,no,Participatory design focused on MERMAID projects
van Hoof,2020,Can multi-use of the sea be safe? A framework for risk assessment of multi-use at sea,variable,North Sea,variable,,,,0,1,1,,,,,,,,,,,Risk. Calls for collaboration across organizations to manage correctly.,,,,yes,yes,yes,no,yes,Safety/Risk,Schupp et al. (2019; p4) define such multi-use as:” … the joint use of resources in close geographic proximity by either a single user or multiple users. It is an umbrella term that covers a multitude of use combinations in the marine realm and represents a radical change from the concept of exclusive resource rights to the inclusive sharing of resources and space by one or more users.”,
Weiss,2018,Marine renewable energy potential: A global perspective for offshore wind and wave exploitation,Global,other,,,</= 500 m,anything deeper than 500 m were excluded; listed different depth criterias for different tech (pg 48),1,1,0,x,pg 45,,,,,,,Notes that policies regional,,,,,,no,yes,yes,no,no,Siting,sites which are suitable for both wind and wave energy,
Weiss et. al,2018,Co-location opportunities for renewable energies and aquaculture facilities in the Canary Archipelago,,Canary Current,"Tenerife Island, Gran Canaria Island, Fuerteventura Island, and Lanzarote Island",</= 25 km,< 300 m,pg 65,1,0,0,"< 15 m (structural suitability), < 2 m (operational suitability)",pg 64,,,,,x,"pg 65, table 3",,,,,,,yes,yes,no,no,no,"Proposes a method that integrates several selection criteria, responding to the needs and limitations of marine aquaculture and renwable energy production in order to identify opportunities for the co-location of these activities; 3 steps: 1. evaluated suitability of studied area for exploitation of offshore wind/wave energy according to energy production and to structural, operational, and energy transport 2. evaluating suitability for farming 8 commercial fish species in offshore cages according to biological, structural, and operational aspects 3. integrate results for each activity and combined exploitation; ",,
Wever et al,2015,"Lessons from stakeholder dialogues on marine aquaculture in offshore wind farms: Perceived potentials, constraints and research gaps",German North Sea,North Sea,,,,,0,1,1,,,,,,,,,Discusses EU policies about making changes to EEZs BUT also notes the vaugity of these policies in terms of how it allpies to co-location and calls for continued research on the matter,,,NOT EXACT # but discusses high investment cost and incremental return. Not feasible for individual fishers/farmers,there are winners and losers,Environmental impacts. Conflicts with fishermen,yes,yes,no,no,no,Stakeholder assessment,no,stakeholder workshop to gain insights and concerns
Xepapadeas et al,2017,Risk Analysis for the Selected MERMAID Final Designs,European seas (4 sites),other,,,,,0,0,1,,,,,,,,,,,,,,,yes,yes,yes,no,no,,,MERMAID
Zanuttigh et al,2016,A methodology for multi-criteria design of multi-use offshore platforms for marine renewable energy harvesting,Mediterranean Sea,Mediterranean Sea,,,,,0,1,1,,,,,,,,,,"""As for aquaculture, the Legislative Decree No.11954 of 2010, Art. 4 (1) on the Production of marine animals and algae by biological aquaculture""","""The design of the MUP should follow the Regional, National and European legislation framework. However, the different uses have different level of regulations due also to the market development stage and number of existing installations.""",,,,yes,yes,yes,no,no,Recommendations,no,Presents methods for how to design co-located structures for specific areas
Zanuttigh et al,2015,"Boosting Blue Growth in a Mild Sea: Analysis of the Synergies Produced by a Multi-Purpose Offshore Installation in the Northern Adriatic, Italy",North Adriatic Sea,Mediterranean Sea,,,>27 m ,minimum depth for aquaculture,1,0,1,x,pg 6810,,,x,pg 6831 (environmental impact),x,pg 6831 (environmental impact,,,,"NOT EXACT #. Cost increases with depth. The most cost effective choice of MUP from this project is the intregrated fixed wave energy devices, mini-wind and fish farm.","Stakeholder support will require a ""participatory and multidisciplinary design process based on clear responsibilities and cooperation amongst users."" also energy and tech sectors requested access to training MUPs",,yes,yes,yes,yes,no,,,
